Product_id,Category,Product Title,Product Description,Brand,Pack Size Or Quantity,Mrp,Price,Offers,Stock Availibility,Image Urls
31,Chocolates & Sweets,Cadbury Dairy Milk Silk Bubbly Chocolate Bars  (120 g),,Cadbury,120 g,170,168,NA,FALSE,https://rukminim1.flixcart.com/image/832/832/jb5e4y80/chocolate/k/k/a/120-dairy-milk-silk-bubbly-chocolate-bar-cadbury-original-imafykjgdyjdbh9j.jpeg?q=70
32,Chocolates & Sweets,Cadbury Fuse Chocolate Bars  (135 g),,Cadbury,135 g,95,95,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/ji4vmvk0/chocolate/f/g/k/135-fuse-chocolate-cadbury-original-imaf5zv3f8vnbbjz.jpeg?q=70
33,Chocolates & Sweets,Chandan Fennel Sweet Mouth Freshener  (100 g),,Chandan,100 g,45,42,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jfbfde80/candy-mouth-freshener/e/v/m/100-mouth-freshener-chandan-original-imaf3tfytexfbhjh.jpeg?q=70
34,Chocolates & Sweets,Doublemint Paanmint Chewing Gum  (96 g),"For a fresh mouth and odour-free breath any time, you can carry the Doublemint Paanmint Chewing Gum with yourself. These chewing gums offer a long-lasting freshness. Instant Freshness If you need instant freshness post a meal or any time during the day, then you can chew a Doublemint Paanmint Chewing Gum. Flavourful The crispy and smooth flavour lasts for a long time.",Doublemint,1,200,196,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jxuq07k0/chewing-gum/p/z/m/96-na-doublemint-original-imafg8acgdqgyc3n.jpeg?q=70
35,Chocolates & Sweets,Bauli Moonfils Croissants Orange  (47 g),,Bauli,47 g,15,15,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jlo1tow0/cake-pastry/y/m/e/47-moonfils-croissants-bauli-original-imaf8qwh7zhmbueg.jpeg?q=70
36,Cooking & Baking Needs,"Mills & Browns Tapioca Powder, 250 g ","About the Product|Tapioca is a starch extracted from cassava root which has more carbohydrates and water proportionally than many other gluten-free flours. It is an alternative to traditional wheat flours and has a variety of uses in baking. It is a very fine, white powder that works well in gluten-free baking. It can replace cornstarch as a thickener for pies and sauces and aids in creating a crisp crust and chewy texture in baking. It is perfect for cakes, pastries, buns, puddings, cookies, waffle etc.Tapioca is a starch extracted from cassava root which has more carbohydrates and water proportionally than many other gluten-free flours. .It is an alternative to traditional wheat flours and has a variety of uses in baking. It is a very fine, white powder that works well in gluten-free baking. It can replace cornstarch as a thickener for pies and sauces and aids in creating a crisp crust and chewy texture in baking. It is perfect for cakes, pastries, buns, puddings, cookies, waffle etc|Ingredients|Tapioca Flour.Tapioca Flour|How to Use|It can be an excellent ingredient baking in combination with other flours. It improves the texture and lends a moist crumb and chew to the baked products..It can be an excellent ingredient baking in combination with other flours. It improves the texture and lends a moist crumb and chew to the baked products.|Other Product Info|EAN Code: __ EAN__  FSSAI Number: 21217193000230  Manufactured & Marketed by: Mills & Browns, #46,1st Floor, 4th cross,saraswathinadi Road, J.C industrial Area, Yelachenahalli, Bangalore-560062.  Best before &&__ PSL__&& days from the date of delivery  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Mills & Browns,250 g ,150,150,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40160664_1-mills-browns-tapioca-powder.jpg
37,Cooking & Baking Needs,"HappyHealthyMe Chia Seeds - Raw, 100 g ","About|Chia is the ancient Mayan word for strength. Chia seeds have been prized for their health benefits for centuries across South American cultures. These tiny seeds pack a nutritional punch that is rich in dietary fibre, calcium, manganese, magnesium and phosphorus, chia seeds also contain a fair bit of protein and antioxidants. Chia seeds also have Omega-3 fatty acids and been known to increase energy and performance in athletes.|Ingredients|Organic Chia Seeds|Other Product Info|EAN Code: 8906085161914  FSSAI Number: 212166194000171  Manufactured & Marketed by: HappyHealthyMe Organics Pvt Ltd, No 221, 8th Block, Koramangala, Bangalore 560095  Best before 27-10-2019  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com|How to Use|Superfoods have superpowers! Recommended dosage: 1-3 Tablespoons daily. Adding chia seeds to any food will dramatically boost its nutritional value, the seeds can be eaten raw, soaked in juice, added to smoothies, porridges and puddings, or added to baked goods. You can also sprinkle them on top of cereal, yogurt, vegetables or rice dishes. Chia seeds can be used to thicken sauces and even used as an egg substitute in recipes.  Green Smoothie Recipe: Blend together 1 Tbsp chia seeds with 1 tsp amla powder, 1 tsp spirulina powder, 150ml milk of choice and 1 banana. Add water or ice as necessary.  Chia Pudding Recipe: Mix 150 ml milk of choice with 2 tsp chia seeds. Sweeten with 1 tsp raw honey or liquid jaggery. Soak overnight in the refrigerator. Optional: While serving, top with 1 tsp nut butter and sliced banana.",HappyHealthyMe,100 g ,270,270,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40137756_1-happyhealthyme-chia-seeds-raw.jpg
38,Cooking Sauces & Vinegar,Fun Foods Pasta Alfredo Sauce  (275 g),,Fun Foods,275 g Plastic Bottle,115,113,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/j3nbwy80/sauce-ketchup/h/h/y/275-italian-pasta-alfredo-plastic-bottle-pasta-fun-foods-original-imaeup5yhr3h4kvr.jpeg?q=70
39,Cooking Sauces & Vinegar,Kissan Pizza and Pasta Sauce  (200 g),,Kissan,200 g Refill,55,55,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jjhglu80/sauce-ketchup/r/n/g/200-pizza-pasta-refill-sauce-kissan-original-imaf7235pnp4ghab.jpeg?q=70
40,"Creams, Lotions, Skin Care",Neutrogena Ultra Sheer Sunblock Cream - SPF 50 PA+++  (30 ml),,Neutrogena,30 ml,199,189,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | Special Price Get extra 3% off (price inclusive of discount) T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jw0zr0w0/sunscreen/2/m/d/30-ultra-sheer-sunblock-cream-50-neutrogena-original-imafgszc7vhxmgpn.jpeg?q=70
41,"Creams, Lotions, Skin Care",Ponds Moisturizing Cold Cream  (55 ml),"Witness the magic of the POND'S Moisturising Cold Cream, that provides intense moisturisation to your skin, rejuvenating it back to life. Smooth and Soft Skin The glycerin penetrates your skin from deep within to give you the softness and glow, healing your dry lines and patches. It comes packed with vital beauty oils and ten skin nutrients.",Ponds,55 ml,99,99,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jqv8ia80/moisturizer-cream/e/g/n/55-moisturizing-cold-cream-cream-ponds-original-imafcseuydwssub2.jpeg?q=70
42,"Creams, Lotions, Skin Care",Boroplus Cocoa soft body lotion  (400 ml),"It’s time to give your skin the much-needed pampering with the Boroplus Cocoa Soft body lotion. It has been formulated using natural ingredients and it is enriched with minerals and vitamins that make your skin soft and healthy. A Rich Lotion This lotion is a fine blend of antiseptic herbs, vitamins, and minerals that will make your skin silky soft and healthy. 24-hours Moisturisation This dermatologist-recommended lotion will provide your body with 24-hour moisturisation. Soft Glowing Skin This body lotion is non-greasy and it will leave your skin glowing.",Boroplus,400 ml,325,227,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/k3erngw0/moisturizer-cream/b/f/x/400-cocoa-soft-body-lotion-boroplus-lotion-original-imafmjdqyent5wd4.jpeg?q=70
43,Dals & Pulses,Flipkart Supermart Select Unpolished White Urad Dal (Whole)  (1 kg),"Dal contains high levels of fibers and carbohydrates for digestion and energy. Cultivated on the nutrient-rich fields of Maharashtra, Gujarat, etc., Flipkart Supermart Dal and Pulses add proteins and essential nutrients to your everyday diet. Sourced from the finest traditional farms, our professionals handpick the Select produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf life while also preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family.",Flipkart Supermart Select,1 kg,151,121,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jd94h3k0/pulses/n/j/8/2-urad-dal-whole-urad-dal-flipkart-supermart-select-original-imafyakgzjufevta.jpeg?q=70
44,Dals & Pulses,Safe Harvest Unpolished Yellow Chana Dal (Split)  (1 kg),,Safe Harvest,1 kg,150,112,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | Special Price Get extra 11% off (price inclusive of discount) T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jxf05u80/pulses/y/z/8/1-chana-dal-chana-dal-safe-harvest-original-imafhvth98z2ud8p.jpeg?q=70
45,Dals & Pulses,Safe Harvest Unpolished Toor Dal  (1 kg),,Safe Harvest,1 kg,170,144,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | Special Price Get extra 7% off (price inclusive of discount) T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jxf05u80/pulses/s/p/v/1-tur-dal-toor-dal-safe-harvest-original-imafhvth8wdcy7zg.jpeg?q=70
46,"Deos, Perfumes & Talc",Nike Fission Man Deo Deodorant Spray - For Men  (200 ml),,Nike,200 ml,279,265,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,http://rukmini1.flixcart.com/image/832/832/jcatwnk0/deodorant/n/y/9/200-fission-man-deo-deodorant-spray-nike-men-original-imaffgkxh4dyrh3k.jpeg?q=70
47,"Deos, Perfumes & Talc","KamaSutra Rush and Dare Deodorant Spray - For Men  (300 ml, Pack of 2)",,KamaSutra,2x150 ml,420,210,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jxc5a4w0/deodorant/g/7/e/300-rush-and-dare-deodorant-spray-kamasutra-men-original-imafhtj8wpw32qyf.jpeg?q=70
48,"Deos, Perfumes & Talc",Nike 5th Element Deodorant Spray - For Women  (200 ml),"Ever wondered at the power of nature to overwhelm you as you stand at the very edge of the cliff, ready to jump into the abyss with nothing holding you to life except a thin rope and few metal pieces? That is the ability of a human to trust in a higher power and let go as sensations flood through your senses and adrenaline pounds in your ears. For the woman who is daredevil enough to step off the ledge to experience ultimate nirvana, Nike presents N5th Element Deo Spray, the fragrance of freedom. The mass premium deodorant spray spreads the notes of peace within your soul as you battle nerves in your quest to do what you have been told that you’re not good enough for. Presented in a pure white flacon that exudes feminine sensuality, the fragrance is one that will keep you fresh and rejuvenated as you push boundaries and discover what you are capable of. Surrender to your will to let go of everything, grounded only by your belief in yourself, with the fleeting coziness that Nike N5th Element Deo Spray wraps you up in.",Nike,200 ml,279,265,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,http://rukmini1.flixcart.com/image/832/832/jcw9ifk0/deodorant/r/s/q/200-n5th-element-deodorant-spray-nike-women-original-imaffx7njrcbhzsu.jpeg?q=70
49,"Deos, Perfumes & Talc",Wild Stone Ultra Sensual Perfume - 50 ml  (For Men),,Wild Stone,50 ml,399,387,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,http://rukmini1.flixcart.com/image/832/832/jvv9zm80/perfume/t/z/v/50-0-ultra-sensual-perfume-wild-stone-men-original-imaffmgyzdufztgk.jpeg?q=70
50,Detergents & Dishwash,"Giffy Lemon & Active Salt Concentrated Dish Wash Gel, 1.8 L ","About the Product|Giffy Dishwash Gel is packed with active salt and lemon which cleans 2X faster than ordinary dish wash gels. The natural ingredients make it effective even on tough stains, but gentle on your hands..Giffy Dishwash Gel is packed with active salt and lemon which cleans 2X faster than ordinary dish wash gels. The natural ingredients make it effective even on tough stains, but gentle on your hands.|How to Use|Take a teaspoon (3.57ml approx) of Giffy dish wash gel. Mix it in one bowl of water (40ml). Use this solution with a scrub-sponge for cleaning.|Other Product Info|EAN Code: 8901399191619  Best before 23-07-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Giffy,1.8 L ,348,330.6,17%,TRUE,https://www.bigbasket.com/media/uploads/p/l/40167238_2-giffy-lemon-active-salt-concentrated-dish-wash-gel.jpg
51,Drinks & Beverages,"Saffola FITTIFY Gourmet Superfood Moringa Green Tea - Jasmine, 37.5 g (15 Bags x 2.5 g each) ","About the Product|At Saffola FITTIFY Gourmet, we believe in adding more nutrition to your food and more flavour to your life. With this motto, our range has been carefully created by nutritionists and curated by celebrity chef Kunal Kapur to combine the best of taste with health for a slimmer fitter life. Saffola FITTIFY Gourmet Superfood Moringa Green Tea is scientifically formulated by nutritionists and carefully curated by chef Kunal Kapur to give you all the benefits of Green tea combined with the power of superfood Moringa.Now get healthy with our range of SUPERCHAIs. Health Benefits: Supports Immunity, Aids in Weight Management and Helps regulate metabolism.Benefits of Superfood Moringa: Moringa leaves are a nutrition powerhouse. They are power packed with vitamins, minerals & is a rich source of protein, Iron, Calcium and Vitamin C and has antioxidant properties. It helps boost bone and joint health.Nutrition comparison of Moringa (gram per gram) - Calcium - 17X more than milk, Iron - 8X more than spinach, Protein - 1.5 X protein than dal vitamin C - 7 X than plums..At Saffola FITTIFY Gourmet, we believe in adding more nutrition to your food and more flavour to your life. With this motto, our range has been carefully created by nutritionists and curated by celebrity chef Kunal Kapur to combine the best of taste with health for a slimmer fitter life. Saffola FITTIFY Gourmet Superfood Moringa Green Tea is scientifically formulated by nutritionists and carefully curated by chef Kunal Kapur to give you all the benefits of Green tea combined with the power of superfood Moringa..Now get healthy with our range of SUPERCHAIs. Health Benefits: Supports Immunity, Aids in Weight Management and Helps regulate metabolism..Benefits of Superfood Moringa: Moringa leaves are a nutrition powerhouse. They are power packed with vitamins, minerals & is a rich source of protein, Iron, Calcium and Vitamin C and has antioxidant properties. It helps boost bone and joint health..Nutrition comparison of Moringa (gram per gram) - Calcium - 17X more than milk, Iron - 8X more than spinach, Protein - 1.5 X protein than dal vitamin C - 7 X than plums.|Ingredients|Organic Green Tea (78%), Organic Moringa Leaves (20%), Jasmine Flavour (2%)..Organic Green Tea (78%), Organic Moringa Leaves (20%), Jasmine Flavour (2%).|How to Use|Place the tea sachet in a cup.Pour 150 ml freshly boiled water.Let the tea bag infuse for 2 minutes for an optimum flavour.|Other Product Info|EAN Code: 8901088145459  FSSAI Number: 12417003002432  Manufacturer Name and Address: Crystal Tea India Private Limited, 1/14, TVS Nagar Road, Kavundampalayam,Coimbatore -641030, Tamilnadu  Marketed by: Marico Limited 7th floor, Grande Palladium, 175, CST Road, Kolivery Village, MMRDA Area, Kalina, Santa Cruz East, Mumbai, Maharashtra 400098  Best Before 23-07-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034.",Saffola FITTIFY Gourmet,37.5 g ,220,165,25%,TRUE,https://www.bigbasket.com/media/uploads/p/l/40158695_4-saffola-fittify-gourmet-superfood-moringa-green-tea-jasmine.jpg
52,Fragrances & Deos,"David Beckham Homme Deodorant Spray, 150 ml ","About the Product|Wet citrus, spicy ginger and black pepper open the fragrance. A signature heart of aromatic rosemary, sumptuous leather and cashmere wood.Apply it to the pulse points like on your wrist, behind the ear, near the neck, behind the knee and on your elbows for the fragrance to last long..Wet citrus, spicy ginger and black pepper open the fragrance. A signature heart of aromatic rosemary, sumptuous leather and cashmere wood.|Other Product Info|EAN Code: 3607342292420  Best before 14-01-2022  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",David Beckham,150 ml ,399,351.12,12%,FALSE,https://www.bigbasket.com/media/uploads/p/l/40080767_4-david-beckham-homme-deodorant-spray.jpg
53,Fragrances & Deos,"Playboy London Man Deodorant Spray, 150 ml ","About the Product|This playboy fragrance collection for men, dedicated to the world capitals, expands with the new edition London. London is a city of rebellious music and fashion, as well as the sophistication and class..This playboy fragrance collection for men, dedicated to the world capitals, expands with the new edition London. London is a city of rebellious music and fashion, as well as the sophistication and class.|Other Product Info|EAN Code: 3614221642191  Best before 14-01-2022  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Playboy,150 ml ,249,219.12,12%,FALSE,https://www.bigbasket.com/media/uploads/p/l/40028487_3-playboy-london-man-deodorant-spray.jpg
54,Fragrances & Deos,"All Good Scents All Good Scents - Chypre Duo Fragrance, For Him, Gift Set, 2 pcs ","About the Product|Gift All Good Scents Perfume set to that special someone in your life or buy it for yourself!!This Chypre Duo Fragrance Set consist of two perfumes, Alive & Cool.All Good Scents Alive - For the Macho Man. Live the life to the fullest. Be a winner of hearts. The quintessential lavender, vanilla and lemon fragrance. For the man who doesn't have to try too hard. he's just naturally and irresistibly macho.All Good Scents Cool - For the Man in Control. Start your day with the freshness of mint. Leave a lingering scent every time you pass desiring for more. The right amount of zest, and they know that you are totally cool..Gift All Good Scents Perfume set to that special someone in your life or buy it for yourself!!This Chypre Duo Fragrance Set consist of two perfumes, Alive & Cool.All Good Scents Alive - For the Macho Man. Live the life to the fullest. Be a winner of hearts. The quintessential lavender, vanilla and lemon fragrance. For the man who doesn't have to try too hard. he's just naturally and irresistibly macho.All Good Scents Cool - For the Man in Control. Start your day with the freshness of mint. Leave a lingering scent every time you pass desiring for more. The right amount of zest, and they know that you are totally cool..Gift All Good Scents Perfume set to that special someone in your life or buy it for yourself!!.This Chypre Duo Fragrance Set consist of two perfumes, Alive & Cool..All Good Scents Alive - For the Macho Man. Live the life to the fullest. Be a winner of hearts. The quintessential lavender, vanilla and lemon fragrance. For the man who doesn't have to try too hard. he's just naturally and irresistibly macho..All Good Scents Cool - For the Man in Control. Start your day with the freshness of mint. Leave a lingering scent every time you pass desiring for more. The right amount of zest, and they know that you are totally cool.|Features|• Travel-friendly• Long lasting scent• Make us feel fresh all day long• Perfect gift for your loved ones.• Travel-friendly• Long lasting scent• Make us feel fresh all day long• Perfect gift for your loved ones.• Travel-friendly.• Long lasting scent.• Make us feel fresh all day long.• Perfect gift for your loved ones|Composition|All Good Scents Alive • Top Notes: Lavender, Rosemary, Lemon• Heart Notes: Clary Sage, Cedar, Rosewood• Base Notes: Oak Moss, White Musk, Tonka BeansAll Good Scents Cool • Top Notes: Coriander, Mint, Fresh Green Notes• Heart Notes: Geranium, Neroli, Marine• Base Notes: Cedar, Oak Moss, White Musk.All Good Scents Alive • Top Notes: Lavender, Rosemary, Lemon• Heart Notes: Clary Sage, Cedar, Rosewood• Base Notes: Oak Moss, White Musk, Tonka BeansAll Good Scents Cool • Top Notes: Coriander, Mint, Fresh Green Notes• Heart Notes: Geranium, Neroli, Marine• Base Notes: Cedar, Oak Moss, White Musk.All Good Scents Alive .• Top Notes: Lavender, Rosemary, Lemon.• Heart Notes: Clary Sage, Cedar, Rosewood.• Base Notes: Oak Moss, White Musk, Tonka Beans.All Good Scents Cool .• Top Notes: Coriander, Mint, Fresh Green Notes.• Heart Notes: Geranium, Neroli, Marine.• Base Notes: Cedar, Oak Moss, White Musk|How to Use|• Apply it on your pulse points.• Apply it on your pulse points.• Apply it on your pulse points|Other Product Info|EAN Code: 40151930  Manufacturer Name & Address: SUHAN AEROSOL, J/1-8; Radheshyam Industrial Complex NH3 Highway Village - Asangaon West, Taluka, Shahpur, Maharashtra  Marketed by: 603, Matrix B/H Divya Bhaskar SG Highway Ahmedabad  Best before 27-01-2022  For queries call 1860 123 1000",All Good Scents,2 pcs ,1500,1350,150%,TRUE,https://www.bigbasket.com/media/uploads/p/l/40151930_2-all-good-scents-all-good-scents-chypre-duo-fragrance-for-him-gift-set.jpg
55,Fragrances & Deos,"Engage On Pocket Perfume - Man, Cool Marine, 18 ml ","About the Product|A timeless Classical Fragrance with bursts of Cologne, patchouli and fresh Woody notes.  For Beauty tips, tricks & more visit http://lookbeautiful.in/  For Beauty tips, tricks & more visitÃ‚Â https://bigbasket.blog/|Other Product Info|EAN Code: 8901725958282  Best before 28-07-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Engage,18 ml ,60,60,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40103159_1-engage-on-pocket-perfume-man-cool-marine.jpg
56,Fragrances & Deos,"Ajmal Cento EDP Oriental Perfume For Men, 100 ml ","About the Product|Cento is a modern tribute to classic masculine fragrances. The heart notes are composed of lavender and Muguet. The deep and intense character of the fragrance is built on the leathery mossy woody notes along with patchouli and sandalwood in the base.|Composition|Alcohol Denat, Aqua (Water), Fragrance, Butylphenyl Methylpropional, Citral Citronellol, Coumarin, Geraniol, Hexyl Cinnamal, Limonene, Linalool, Alcohol Content: 75% w/w Ethyl Alcohol with 1% Diethyl Phthalate..Alcohol Denat, Aqua (Water), Fragrance, Butylphenyl Methylpropional, Citral Citronellol, Coumarin, Geraniol, Hexyl Cinnamal, Limonene, Linalool, Alcohol Content: 75% w/w Ethyl Alcohol with 1% Diethyl Phthalate.|How to Use|Shake well. Hold the bottle in an upright position, 5 cm to 10 cm away from the body and spray liberally..Shake well. Hold the bottle in an upright position, 5 cm to 10 cm away from the body and spray liberally.|Other Product Info|EAN Code: 6293708010554  Manufactured & marketed by: Ajmals Perfume, Manufacturing & oudh Processing industry (L.L.C) P.O.Box:3141, Dubai U.A.E  Imported by: Building No.22, -, 2Nd Pasta Lane, Colaba, Mumbai City, Maharashtra, 400005  Country of Origin: UAE  Best Before 22-01-2021  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Ajmal,100 ml ,2200,1760,20%,TRUE,https://rukminim1.flixcart.com/image/416/416/ka73y4w0/perfume/g/t/r/200-cento-edp-citrus-aromatic-perfume-100ml-for-men-and-zeal-edp-original-imafrtj2ukevtyjf.jpeg?q=70
